ADMIN_variable_group,ADMIN_variable,ADMIN_classification,ADMIN_category_code,ADMIN_category_name,ADMIN_legend_start_str,EDIT_THIS_legend_str_1,EDIT_THIS_legend_str_2,EDIT_THIS_legend_str_3,OLD_legend_str_3
Population,Marital and civil partnership status,legal_partnership_status_3a,legal_partnership_status_3a-001,Married or in a registered civil partnership,{PERCENTAGE}%,of people in {location},are,married or in a registered civil partnership,married or in a registered civil partnership
Population,Marital and civil partnership status,legal_partnership_status_3a,legal_partnership_status_3a-002,Other marital or civil partnership status,{PERCENTAGE}%,of people in {location},have,other marital or civil partnership status,other marital or civil partnership status
Population,Marital and civil partnership status,legal_partnership_status_6a,legal_partnership_status_6a-001,Never married and never registered a civil partnership,{PERCENTAGE}%,of people in {location},have,never married and never registered a civil partnership,never married and never registered a civil partnership
Population,Marital and civil partnership status,legal_partnership_status_6a,legal_partnership_status_6a-002,Married or in a registered civil partnership,{PERCENTAGE}%,of people in {location},are,married or in a registered civil partnership,married or in a registered civil partnership
Population,Marital and civil partnership status,legal_partnership_status_6a,legal_partnership_status_6a-003,"Separated, but still legally married or still legally in a civil partnership",{PERCENTAGE}%,of people in {location},are,"separated, but still legally married or still legally in a civil partnership","separated, but still legally married or still legally in a civil partnership"
Population,Marital and civil partnership status,legal_partnership_status_6a,legal_partnership_status_6a-004,Divorced or civil partnership dissolved,{PERCENTAGE}%,of people in {location},are,divorced or have had their civil partnership dissolved,divorced or civil partnership dissolved
Population,Marital and civil partnership status,legal_partnership_status_6a,legal_partnership_status_6a-005,Widowed or surviving civil partnership partner,{PERCENTAGE}%,of people in {location},are,widowed or the surviving civil partnership partner,widowed or surviving civil partnership partner
Population,Marital and civil partnership status,legal_partnership_status,legal_partnership_status-001,Never married and never registered a civil partnership,{PERCENTAGE}%,of people in {location},have,never married and never registered a civil partnership,never married and never registered a civil partnership
Population,Marital and civil partnership status,legal_partnership_status,legal_partnership_status-002,Married: Opposite sex,{PERCENTAGE}%,of people in {location},are,married to the opposite sex,married: opposite sex
Population,Marital and civil partnership status,legal_partnership_status,legal_partnership_status-003,Married: Same sex,{PERCENTAGE}%,of people in {location},are,married to the same sex,married: same sex
Population,Marital and civil partnership status,legal_partnership_status,legal_partnership_status-004,In a registered civil partnership: Opposite sex,{PERCENTAGE}%,of people in {location},are,in a registered civil partnership with the opposite sex,in a registered civil partnership: opposite sex
Population,Marital and civil partnership status,legal_partnership_status,legal_partnership_status-005,In a registered civil partnership: Same sex,{PERCENTAGE}%,of people in {location},are,in a registered civil partnership with the same sex,in a registered civil partnership: same sex
Population,Marital and civil partnership status,legal_partnership_status,legal_partnership_status-006,"Separated, but still married",{PERCENTAGE}%,of people in {location},are,"separated, but still married","separated, but still married"
Population,Marital and civil partnership status,legal_partnership_status,legal_partnership_status-007,"Separated, but still in a registered civil partnership",{PERCENTAGE}%,of people in {location},are,"separated, but still in a registered civil partnership","separated, but still in a registered civil partnership"
Population,Marital and civil partnership status,legal_partnership_status,legal_partnership_status-008,Divorced,{PERCENTAGE}%,of people in {location},are,divorced,divorced
Population,Marital and civil partnership status,legal_partnership_status,legal_partnership_status-009,Formerly in a civil partnership now legally dissolved,{PERCENTAGE}%,of people in {location},were,formerly in a civil partnership now legally dissolved,formerly in a civil partnership now legally dissolved
Population,Marital and civil partnership status,legal_partnership_status,legal_partnership_status-010,Widowed,{PERCENTAGE}%,of people in {location},are,widowed,widowed
Population,Marital and civil partnership status,legal_partnership_status,legal_partnership_status-011,Surviving partner from civil partnership,{PERCENTAGE}%,of people in {location},are,the surviving partner from civil partnership,surviving partner from civil partnership
Population,Household composition,hh_family_composition_4a,hh_family_composition_4a-001,Multiple family household,{PERCENTAGE}%,of households in {location},are,multiple family households,multiple family household
Population,Household composition,hh_family_composition_4a,hh_family_composition_4a-002,One person household,{PERCENTAGE}%,of households in {location},are,one person households,one person household
Population,Household composition,hh_family_composition_4a,hh_family_composition_4a-003,Single family household,{PERCENTAGE}%,of households in {location},are,single family households,single family household
Population,Household composition,hh_family_composition_15a,hh_family_composition_15a-001,One person household: Aged 66 years and over,{PERCENTAGE}%,of households in {location},are,households with one person aged 66 years and over,one person household: aged 66 years and over
Population,Household composition,hh_family_composition_15a,hh_family_composition_15a-002,One person household: Other,{PERCENTAGE}%,of households in {location},are,househols with one person aged less than 66 years,one person household: other
Population,Household composition,hh_family_composition_15a,hh_family_composition_15a-003,Single family household: All aged 66 years and over,{PERCENTAGE}%,of households in {location},are,single family households in which all people are aged 66 years and over,single family household: all aged 66 years and over
Population,Household composition,hh_family_composition_15a,hh_family_composition_15a-004,Single family household: Married or civil partnership couple: No children,{PERCENTAGE}%,of households in {location},are,single family households of a married or civil partnership couple with no children,single family household: married or civil partnership couple: no children
Population,Household composition,hh_family_composition_15a,hh_family_composition_15a-005,Single family household: Married or civil partnership couple: Dependent children,{PERCENTAGE}%,of households in {location},are,single family households of a married or civil partnership couple with dependent children,single family household: married or civil partnership couple: dependent children
Population,Household composition,hh_family_composition_15a,hh_family_composition_15a-006,Single family household: Married or civil partnership couple: All children non-dependent,{PERCENTAGE}%,of households in {location},are,single family households of a married or civil partnership couple with all children non-dependent,single family household: married or civil partnership couple: all children non-dependent
Population,Household composition,hh_family_composition_15a,hh_family_composition_15a-007,Single family household: Cohabiting couple family: No children,{PERCENTAGE}%,of households in {location},are,single family households of a cohabiting couple family with no children,single family household: cohabiting couple family: no children
Population,Household composition,hh_family_composition_15a,hh_family_composition_15a-008,Single family household: Cohabiting couple family: With dependent children,{PERCENTAGE}%,of households in {location},are,single family households of a cohabiting couple family with dependent children,single family household: cohabiting couple family: with dependent children
Population,Household composition,hh_family_composition_15a,hh_family_composition_15a-009,Single family household: Cohabiting couple family: All children non-dependent,{PERCENTAGE}%,of households in {location},are,single family households of a cohabiting couple family with all children non-dependent,single family household: cohabiting couple family: all children non-dependent
Population,Household composition,hh_family_composition_15a,hh_family_composition_15a-010,Single family household: Lone parent family: With dependent children,{PERCENTAGE}%,of households in {location},are,single family households of a lone parent family with dependent children,single family household: lone parent family: with dependent children
Population,Household composition,hh_family_composition_15a,hh_family_composition_15a-011,Single family household: Lone parent family: All children non-dependent,{PERCENTAGE}%,of households in {location},are,single family households of a lone parent family with all children non-dependent,single family household: lone parent family: all children non-dependent
Population,Household composition,hh_family_composition_15a,hh_family_composition_15a-012,Single family household: Other single family household: Other family composition,{PERCENTAGE}%,of households in {location},are,single family households with other family composition,single family household: other single family household: other family composition
Population,Household composition,hh_family_composition_15a,hh_family_composition_15a-013,Multiple-family household: With dependent children,{PERCENTAGE}%,of households in {location},are,multiple-family households with dependent children,multiple-family household: with dependent children
Population,Household composition,hh_family_composition_15a,hh_family_composition_15a-014,"Multiple-family household: Other, including all full-time students and all aged 66 years and over",{PERCENTAGE}%,of households in {location},are,"multiple-family households with other composition, including all full-time students and all aged 66 years and over","multiple-family household: other, including all full-time students and all aged 66 years and over"
Population,Age,resident_age_3a,resident_age_3a-001,Aged 15 years and under,{PERCENTAGE}%,of people in {location},are,aged 15 years and under,aged 15 years and under
Population,Age,resident_age_3a,resident_age_3a-002,Aged 16 to 64 years,{PERCENTAGE}%,of people in {location},are,aged 16 to 64 years,aged 16 to 64 years
Population,Age,resident_age_3a,resident_age_3a-003,Aged 65 years and over,{PERCENTAGE}%,of people in {location},are,aged 65 years and over,aged 65 years and over
Population,Age,resident_age_8c,resident_age_8c-001,Aged 14 years and under,{PERCENTAGE}%,of people in {location},are,aged 14 years and under,aged 14 years and under
Population,Age,resident_age_8c,resident_age_8c-002,Aged 15 to 24 years,{PERCENTAGE}%,of people in {location},are,aged 15 to 24 years,aged 15 to 24 years
Population,Age,resident_age_8c,resident_age_8c-003,Aged 25 to 34 years,{PERCENTAGE}%,of people in {location},are,aged 25 to 34 years,aged 25 to 34 years
Population,Age,resident_age_8c,resident_age_8c-004,Aged 35 to 44 years,{PERCENTAGE}%,of people in {location},are,aged 35 to 44 years,aged 35 to 44 years
Population,Age,resident_age_8c,resident_age_8c-005,Aged 45 to 54 years,{PERCENTAGE}%,of people in {location},are,aged 45 to 54 years,aged 45 to 54 years
Population,Age,resident_age_8c,resident_age_8c-006,Aged 55 to 64 years,{PERCENTAGE}%,of people in {location},are,aged 55 to 64 years,aged 55 to 64 years
Population,Age,resident_age_8c,resident_age_8c-007,Aged 65 to 74 years,{PERCENTAGE}%,of people in {location},are,aged 65 to 74 years,aged 65 to 74 years
Population,Age,resident_age_8c,resident_age_8c-008,Aged 75 years and over,{PERCENTAGE}%,of people in {location},are,aged 75 years and over,aged 75 years and over
Population,Age,resident_age_11a,resident_age_11a-001,Aged 4 years and under,{PERCENTAGE}%,of people in {location},are,aged 4 years and under,aged 4 years and under
Population,Age,resident_age_11a,resident_age_11a-002,Aged 5 to 9 years,{PERCENTAGE}%,of people in {location},are,aged 5 to 9 years,aged 5 to 9 years
Population,Age,resident_age_11a,resident_age_11a-003,Aged 10 to 15 years,{PERCENTAGE}%,of people in {location},are,aged 10 to 15 years,aged 10 to 15 years
Population,Age,resident_age_11a,resident_age_11a-004,Aged 16 to 19 years,{PERCENTAGE}%,of people in {location},are,aged 16 to 19 years,aged 16 to 19 years
Population,Age,resident_age_11a,resident_age_11a-005,Aged 20 to 24 years,{PERCENTAGE}%,of people in {location},are,aged 20 to 24 years,aged 20 to 24 years
Population,Age,resident_age_11a,resident_age_11a-006,Aged 25 to 34 years,{PERCENTAGE}%,of people in {location},are,aged 25 to 34 years,aged 25 to 34 years
Population,Age,resident_age_11a,resident_age_11a-007,Aged 35 to 49 years,{PERCENTAGE}%,of people in {location},are,aged 35 to 49 years,aged 35 to 49 years
Population,Age,resident_age_11a,resident_age_11a-008,Aged 50 to 64 years,{PERCENTAGE}%,of people in {location},are,aged 50 to 64 years,aged 50 to 64 years
Population,Age,resident_age_11a,resident_age_11a-009,Aged 65 to 74 years,{PERCENTAGE}%,of people in {location},are,aged 65 to 74 years,aged 65 to 74 years
Population,Age,resident_age_11a,resident_age_11a-010,Aged 75 to 84 years,{PERCENTAGE}%,of people in {location},are,aged 75 to 84 years,aged 75 to 84 years
Population,Age,resident_age_11a,resident_age_11a-011,Aged 85 years and over,{PERCENTAGE}%,of people in {location},are,aged 85 years and over,aged 85 years and over
Population,Age,resident_age_101a,resident_age_101a-000,Aged under 1 year,{PERCENTAGE}%,of people in {location},are,aged under 1 year,aged under 1 year
Population,Age,resident_age_101a,resident_age_101a-001,Aged 1 year,{PERCENTAGE}%,of people in {location},are,aged 1 year,aged 1 year
Population,Age,resident_age_101a,resident_age_101a-002,Aged 2 years,{PERCENTAGE}%,of people in {location},are,aged 2 years,aged 2 years
Population,Age,resident_age_101a,resident_age_101a-003,Aged 3 years,{PERCENTAGE}%,of people in {location},are,aged 3 years,aged 3 years
Population,Age,resident_age_101a,resident_age_101a-004,Aged 4 years,{PERCENTAGE}%,of people in {location},are,aged 4 years,aged 4 years
